"Time","value"
1706346601174,102536
1706346601268,101893
1706346601362,103366
1706346601456,102792
1706346601550,103669
1706346601643,104887
1706346601738,105887
1706346601831,105028
1706346601925,103151
1706346602019,101498
1706346602113,103238
1706346602207,102676
1706346602301,102201
1706346602395,104681
1706346602489,103358
1706346602583,104932
1706346602677,104246
1706346602771,105161
1706346602865,104572
1706346602958,104215
1706346603053,106022
1706346603146,105369
1706346603240,100751
1706346603334,103490
1706346603428,104912
1706346603522,107670
1706346603616,102704
1706346603710,104039
1706346604080,100819
1706346604174,106940
1706346604268,102383
1706346604361,105101
1706346604456,107855
1706346604549,101631
1706346604643,107207
1706346604737,102760
1706346604831,106934
1706346604925,101718
1706346605019,107689
1706346605113,102870
1706346605207,108275
1706346605301,102535
1706346605395,105155
1706346605488,103922
1706346605583,107106
1706346605677,103536
1706346605771,103327
1706346605864,105165
1706346605958,103294
1706346606052,102030
1706346606146,95761
1706346606240,103549
1706346606334,107593
1706346606428,104949
1706346606522,105744
1706346606616,104931
1706346606710,103831
1706346606803,104329
1706346606897,105250
1706346606991,105863
1706346607085,105005
1706346607179,104440
1706346607273,104636
1706346607367,104972
1706346607461,105109
1706346607555,104908
1706346607649,104795
1706346607742,104762
1706346607837,104536
1706346607930,104084
1706346608024,103911
1706346608118,104208
1706346608212,104503
1706346608306,104789
1706346608400,104929
1706346608494,104877
1706346608588,104755
1706346608937,104819
1706346609029,104855
1706346609123,104799
1706346609217,104731
1706346609311,104661
1706346609405,104731
1706346609499,104716
1706346609593,104797
1706346609686,104888
1706346609781,104786
1706346609874,104798
1706346609968,104839
1706346610063,104864
1706346610156,104812
1706346610250,104829
1706346610344,104855
1706346610438,104755
1706346610533,104740
1706346610626,104753
1706346610720,104739
1706346610814,104835
1706346610907,104929
1706346611001,104830
1706346611095,104836
1706346611189,104936
1706346611283,104903
1706346611377,104784
1706346611471,104731
1706346611565,104816
1706346611659,104852
1706346611752,104825
1706346611847,104778
1706346611940,104656
1706346612034,104650
1706346612128,104763
1706346612222,104778
1706346612316,104709
1706346612410,104728
1706346612504,104832
1706346612598,104973
1706346612692,104916
1706346612786,104587
1706346612879,104665
1706346612974,104821
1706346613067,104787
1706346613161,104843
1706346613255,104885
1706346613349,104678
1706346613443,104536
1706346613537,104655
1706346613631,104838
1706346613978,104829
1706346614072,104801
1706346614166,104810
1706346614259,104837
1706346614353,104888
1706346614447,104997
1706346614541,104818
1706346614635,104504
1706346614729,104848
1706346614823,104897
1706346614917,104938
1706346615011,104890
1706346615105,104808
1706346615199,104823
1706346615293,104787
1706346615386,104711
1706346615480,104770
1706346615574,104713
1706346615668,104687
1706346615762,104710
1706346615856,104800
1706346615950,104933
1706346616044,104809
1706346616138,104902
1706346616232,104938
1706346616326,104900
1706346616419,104557
1706346616513,104653
1706346616607,104760
1706346616701,104837
1706346616795,104811
1706346616889,104891
1706346616983,104904
1706346617077,104764
1706346617171,104744
1706346617265,104686
1706346617358,104738
1706346617453,104708
1706346617547,104602
1706346617640,104678
1706346617735,104741
1706346617828,104974
1706346617922,104899
1706346618016,104813
1706346618110,104972
1706346618204,104938
1706346618298,104867
1706346618392,104921
1706346618486,104857
1706346618580,104865
1706346618905,104784
1706346618998,104962
1706346619092,104997
1706346619186,104871
1706346619280,104812
1706346619373,104670
1706346619467,104591
1706346619561,104718
1706346619655,104783
1706346619749,104975
1706346619843,104670
1706346619937,104739
1706346620031,104872
1706346620125,104838
1706346620219,104766
1706346620313,104814
1706346620406,104894
1706346620500,104817
1706346620594,104760
1706346620688,104861
1706346620782,104892
1706346620876,104784
1706346620970,104883
1706346621064,104904
1706346621158,104836
1706346621252,104672
1706346621345,104746
1706346621440,104689
1706346621533,104842
1706346621627,104880
1706346621721,104858
1706346621815,104820
1706346621909,104847
1706346622003,104965
1706346622097,105015
1706346622191,104913
1706346622285,104853
1706346622379,104828
1706346622472,104618
1706346622566,104303
1706346622660,104320
1706346622754,104706
1706346622848,104902
1706346622942,104825
1706346623036,104842
1706346623130,104954
1706346623224,105002
1706346623318,105038
1706346623412,104994
1706346623506,104728
1706346623599,104571
1706346623924,104691
1706346624017,104915
1706346624111,104780
1706346624206,104633
1706346624299,104632
1706346624393,104924
1706346624487,104967
1706346624581,104808
1706346624676,104803
1706346624769,104791
1706346624863,104793
1706346624957,104828
1706346625051,104891
1706346625145,104876
1706346625239,104833
1706346625333,104832
1706346625427,104871
1706346625520,104782
1706346625615,104748
1706346625708,104800
1706346625802,104759
1706346625896,104716
1706346625990,104705
1706346626084,104716
1706346626178,104804
1706346626272,104855
1706346626366,104769
1706346626460,104856
1706346626553,104907
1706346626647,104730
1706346626742,104747
1706346626835,104883
1706346626929,104829
1706346627023,104758
1706346627117,104738
1706346627211,104792
1706346627305,104894
1706346627399,104771
1706346627493,104723
1706346627587,104795
1706346627681,104796
1706346627775,104840
1706346627868,104835
