"Time","value"
1706353266874,51778
1706353266968,51782
1706353267062,51780
1706353267155,51778
1706353267249,51779
1706353267343,51779
1706353267437,51780
1706353267531,51778
1706353267625,51776
1706353267719,51781
1706353267813,51782
1706353267907,51779
1706353268001,51781
1706353268095,51785
1706353268189,51782
1706353268283,51780
1706353268377,51778
1706353268471,51781
1706353268564,51781
1706353268658,51780
1706353268752,51777
1706353268846,51778
1706353268940,51780
1706353269034,51780
1706353269128,51780
1706353269222,51782
1706353269570,51782
1706353269663,51784
1706353269757,51784
1706353269851,51783
1706353269945,51782
1706353270039,51781
1706353270133,51779
1706353270227,51782
1706353270321,51780
1706353270415,51781
1706353270509,51781
1706353270603,51782
1706353270696,51782
1706353270791,51780
1706353270884,51777
1706353270978,51780
1706353271072,51778
1706353271166,51776
1706353271260,51779
1706353271354,51781
1706353271448,51782
1706353271541,51782
1706353271636,51782
1706353271729,51780
1706353271823,51780
1706353271917,51782
1706353272011,51781
1706353272105,51782
1706353272199,51781
1706353272293,51781
1706353272387,51779
1706353272481,51778
1706353272575,51781
1706353272668,51782
1706353272762,51782
1706353272857,51776
1706353272950,51778
1706353273044,51781
1706353273138,51784
1706353273232,51784
1706353273326,51782
1706353273420,51780
1706353273514,51778
1706353273608,51779
1706353273702,51782
1706353273795,51779
1706353273889,51780
1706353273983,51781
1706353274377,51782
1706353274471,51780
1706353274564,51782
1706353274658,51782
1706353274752,51779
1706353274846,51781
1706353274940,51782
1706353275035,51779
1706353275128,51778
1706353275222,51776
1706353275316,51778
1706353275410,51781
1706353275504,51781
1706353275597,51781
1706353275692,51781
1706353275786,51779
1706353275879,51778
1706353275973,51778
1706353276067,51780
1706353276161,51780
1706353276255,51781
1706353276349,51780
1706353276443,51781
1706353276537,51778
1706353276630,51780
1706353276724,51781
1706353276818,51779
1706353276912,51778
1706353277006,51781
1706353277100,51783
1706353277194,51783
1706353277288,51783
1706353277382,51780
1706353277476,51779
1706353277570,51780
1706353277663,51782
1706353277758,51782
1706353277851,51783
1706353277945,51785
1706353278039,51791
1706353278133,51792
1706353278227,51786
1706353278321,51788
1706353278415,51791
1706353278509,51785
1706353278603,51783
1706353278697,51783
1706353278791,51784
1706353278884,51787
1706353278978,51788
1706353279072,51785
1706353279166,51780
1706353279490,51781
1706353279584,51787
1706353279678,51787
1706353279772,51785
1706353279866,51785
1706353279960,51782
1706353280053,51782
1706353280148,51782
1706353280241,51779
1706353280335,51782
1706353280429,51784
1706353280523,51784
1706353280617,51785
1706353280711,51783
1706353280805,51783
1706353280899,51783
1706353280993,51786
1706353281086,51785
1706353281180,51783
1706353281274,51784
1706353281368,51786
1706353281462,51788
1706353281556,51845
1706353281650,52191
1706353281745,52896
1706353281838,53691
1706353281932,54601
1706353282026,56099
1706353282120,57698
1706353282214,59097
1706353282307,60398
1706353282401,61668
1706353282496,62882
1706353282589,63961
1706353282683,64720
1706353282777,65827
1706353282871,66629
1706353282965,67367
1706353283059,68182
1706353283153,68342
1706353283247,69129
1706353283341,70205
1706353283435,70425
1706353283529,70271
1706353283623,70065
1706353283716,70307
1706353283810,70830
1706353283904,71018
1706353283998,70590
1706353284092,70452
1706353284186,71234
1706353284280,72623
1706353284374,73565
1706353284468,74074
1706353284562,74718
1706353284656,75539
1706353284750,75970
1706353285143,79262
1706353285238,79870
1706353285331,77377
1706353285425,77320
1706353285519,84513
1706353285612,92268
1706353285706,98372
1706353285800,102320
1706353285894,104843
1706353285988,105593
1706353286083,105278
1706353286177,104602
1706353286270,103925
1706353286364,103961
1706353286457,104267
1706353286552,104079
1706353286646,104001
1706353286739,104469
1706353286834,104414
1706353286927,104249
1706353287022,104246
1706353287115,104377
1706353287209,104790
1706353287303,104980
1706353287397,104859
1706353287492,104399
1706353287585,104383
1706353287679,104823
1706353287773,104774
1706353287866,104642
1706353287960,104581
1706353288054,104549
1706353288148,104758
