"Time","value"
1706401895233,105094
1706401895327,105171
1706401895421,105161
1706401895515,105135
1706401895609,105116
1706401895703,105148
1706401895796,105113
1706401895890,105048
1706401895985,105031
1706401896079,105074
1706401896172,105130
1706401896266,105167
1706401896360,105146
1706401896454,105108
1706401896548,105068
1706401896642,105027
1706401896736,105059
1706401896831,105126
1706401896924,105116
1706401897017,105071
1706401897111,105032
1706401897205,105041
1706401897300,105117
1706401897393,105183
1706401897487,105198
1706401897582,105197
1706401897675,105137
1706401897769,105053
1706401897863,105035
1706401897957,105047
1706401898051,105099
1706401898145,105128
1706401898238,105146
1706401898332,105158
1706401898426,105140
1706401898520,105109
1706401898614,105100
1706401898708,105092
1706401898802,105094
1706401898896,105133
1706401898990,105137
1706401899084,105117
1706401899177,105120
1706401899272,105102
1706401899365,105109
1706401899459,105124
1706401899553,105124
1706401899647,105129
1706401899741,105117
1706401899835,105134
1706401900297,105090
1706401900391,105053
1706401900485,105109
1706401900579,105160
1706401900673,105116
1706401900767,105048
1706401900861,105092
1706401900955,105108
1706401901049,105069
1706401901143,105069
1706401901237,105184
1706401901331,105183
1706401901425,105087
1706401901518,105101
1706401901612,105171
1706401901706,105118
1706401901800,104971
1706401901894,105055
1706401901988,105209
1706401902082,105183
1706401902176,105090
1706401902269,105105
1706401902363,105107
1706401902457,105029
1706401902551,105026
1706401902645,105126
1706401902739,105169
1706401902833,105129
1706401902927,105057
1706401903021,105093
1706401903115,105141
1706401903209,105166
1706401903303,105174
1706401903397,105110
1706401903491,105022
1706401903584,105016
1706401903678,105113
1706401903772,105170
1706401903866,105128
1706401903960,105111
1706401904054,105117
1706401904148,105101
1706401904242,105070
1706401904336,105070
1706401904429,105086
1706401904524,105107
1706401904617,105109
1706401904711,105067
1706401904805,105086
1706401904900,105125
1706401904994,105122
1706401905087,105140
1706401905181,105120
1706401905275,105081
1706401905369,105033
1706401905463,105018
1706401905556,105145
1706401905651,105209
1706401905744,105143
1706401905838,105086
1706401905932,105055
1706401906026,105068
1706401906120,105096
1706401906214,105097
1706401906308,105110
1706401906402,105103
1706401906496,105059
1706401906589,105105
1706401906683,105129
1706401906778,105122
1706401906872,105123
1706401906966,105082
1706401907059,105016
1706401907153,105019
1706401907247,105057
1706401907341,105120
1706401907435,105171
1706401907529,105149
1706401907623,105151
1706401907717,105123
1706401907810,105033
1706401907904,105038
1706401907998,105068
1706401908092,105080
1706401908186,104997
1706401908280,105107
1706401908374,105316
1706401908908,104966
1706401908999,105109
1706401909093,105228
