"Time","value"
1706346530501,73721
1706346530594,70783
1706346530688,68631
1706346530782,66338
1706346530876,64853
1706346530970,59510
1706346531064,52553
1706346531157,47890
1706346531252,45557
1706346531345,46795
1706346531439,48596
1706346531533,49763
1706346531627,51196
1706346531721,51958
1706346531815,51316
1706346531909,50744
1706346532003,51570
1706346532097,52587
1706346532191,53092
1706346532285,53549
1706346532378,54150
1706346532472,54164
1706346532566,54133
1706346532660,54267
1706346532754,54977
1706346532848,55019
1706346533195,56219
1706346533289,60776
1706346533383,66616
1706346533477,72248
1706346533570,75096
1706346533664,73648
1706346533759,71154
1706346533852,68154
1706346533946,65309
1706346534040,62506
1706346534134,56848
1706346534228,50696
1706346534322,45656
1706346534416,45631
1706346534510,47658
1706346534604,49485
1706346534698,50754
1706346534791,51569
1706346534886,52011
1706346534979,52577
1706346535073,52822
1706346535167,53358
1706346535261,54690
1706346535355,54367
1706346535449,54393
1706346535543,54310
1706346535637,54548
1706346535731,55027
1706346535824,55564
1706346535918,55759
1706346536012,56028
1706346536106,57043
1706346536200,60732
1706346536294,66265
1706346536388,68323
1706346536482,66775
1706346536576,66013
1706346536670,66250
1706346536763,65583
1706346536857,57068
1706346536951,50051
1706346537045,46490
1706346537139,46063
1706346537233,48176
1706346537327,51047
1706346537421,52560
1706346537515,52579
1706346537609,52344
1706346537702,51836
1706346537797,51230
1706346537890,51570
1706346537985,52577
1706346538078,53019
1706346538402,52626
1706346538496,52484
1706346538590,51985
1706346538684,51751
1706346538778,51822
1706346538872,51851
1706346538966,51847
1706346539060,51847
1706346539154,51846
1706346539248,51844
1706346539341,51842
1706346539435,51846
1706346539529,51850
1706346539623,51847
1706346539717,51847
1706346539812,51843
1706346539905,51844
1706346539999,51843
1706346540093,51845
1706346540186,51844
1706346540281,51846
1706346540374,51848
1706346540468,51850
1706346540562,51848
1706346540656,51848
1706346540750,51847
1706346540844,51848
1706346540938,51847
1706346541032,51845
1706346541126,51845
1706346541220,51844
1706346541314,51845
1706346541408,51846
1706346541501,51847
1706346541595,51848
1706346541689,51848
1706346541783,51846
1706346541877,51850
1706346541971,51853
1706346542065,51852
1706346542159,51850
1706346542253,52141
1706346542347,53768
1706346542440,54915
1706346542534,58968
1706346542628,64171
1706346542722,68267
1706346542816,68540
1706346542910,67833
1706346543304,64333
1706346543398,64219
1706346543492,62888
1706346543585,59555
1706346543679,54317
1706346543773,50260
1706346543867,48952
1706346543961,50478
1706346544055,53058
1706346544149,54865
1706346544243,54762
1706346544337,54558
1706346544431,54854
1706346544524,55002
1706346544618,55784
1706346544712,56009
1706346544806,56177
1706346544900,55115
1706346544994,54525
1706346545088,54865
1706346545182,54967
1706346545277,55565
1706346545369,55946
1706346545464,55365
1706346545558,54850
1706346545651,54500
1706346545745,54287
1706346545839,54041
1706346545933,54309
1706346546027,54176
1706346546121,54583
1706346546215,55598
1706346546309,55360
1706346546403,55756
1706346546497,57555
1706346546591,58484
1706346546684,58022
1706346546778,56508
1706346546872,54735
1706346546966,53249
1706346547060,52090
1706346547154,52201
1706346547248,52248
1706346547342,53460
1706346547436,54560
1706346547530,54435
1706346547623,53656
1706346547718,51827
1706346547811,51751
1706346547905,52270
1706346548000,52400
1706346548347,51845
1706346548440,51845
1706346548534,51845
1706346548628,51839
1706346548722,51747
1706346548816,51806
1706346548910,51840
1706346549004,51843
1706346549098,51842
1706346549191,51843
1706346549285,51842
1706346549379,51845
1706346549473,51845
1706346549567,51843
1706346549662,51842
1706346549757,51841
1706346549849,51843
1706346549943,51845
1706346550036,51846
1706346550131,51848
1706346550224,51847
1706346550318,51850
1706346550413,51851
1706346550506,51843
1706346550600,51845
1706346550694,51834
1706346550788,51682
1706346550882,51922
1706346550976,51891
1706346551070,51828
1706346551164,52085
1706346551257,52048
1706346551351,51905
1706346551445,51870
1706346551539,51866
1706346551633,51877
1706346551727,51887
1706346551821,51900
1706346551915,51911
1706346552009,51910
1706346552103,51906
1706346552197,51892
1706346552291,51865
1706346552385,51843
1706346552478,51763
1706346552572,51595
1706346552666,51764
1706346552760,52330
1706346552854,52476
1706346552948,51984
1706346553042,51785
1706346553366,51840
1706346553461,51845
1706346553554,51845
1706346553648,51840
1706346553742,51845
1706346553836,51845
1706346553930,51844
1706346554024,51847
1706346554117,51846
1706346554211,51847
1706346554305,51846
1706346554399,51844
1706346554493,51838
1706346554587,51838
1706346554682,51842
1706346554775,51842
1706346554869,51840
1706346554963,51837
1706346555057,51836
1706346555151,51846
1706346555244,51861
1706346555338,51857
1706346555432,51840
1706346555526,51843
1706346555620,51847
1706346555714,51835
1706346555808,51809
1706346555902,51816
1706346555996,51850
1706346556090,51874
1706346556183,51893
1706346556277,51883
1706346556371,51857
1706346556465,51823
1706346556559,51788
1706346556653,51750
1706346556747,51758
1706346556841,51830
1706346556935,51858
1706346557029,51877
1706346557123,51909
1706346557216,51900
1706346557310,51866
1706346557404,51847
1706346557498,51838
1706346557592,51826
1706346557686,51823
1706346557780,51836
1706346557874,51848
1706346557968,51853
1706346558062,51844
1706346558156,51839
1706346558250,51843
1706346558344,51842
1706346558438,51837
1706346558532,51836
1706346558625,51835
1706346558720,51833
1706346558813,51831
1706346558907,51836
1706346559001,51835
1706346559095,51832
1706346559189,51830
1706346559283,51821
1706346559377,51820
1706346559471,51821
1706346559565,51821
1706346559658,51823
1706346559752,51824
1706346559846,51824
1706346559940,51826
1706346560311,51843
1706346560406,51847
1706346560498,51851
1706346560592,51852
1706346560686,51852
1706346560780,51855
1706346560874,51858
1706346560968,51867
1706346561062,51874
1706346561156,51862
1706346561250,51838
1706346561344,51826
1706346561437,51819
1706346561531,51823
1706346561625,51840
1706346561719,51847
1706346561813,51853
1706346561907,51869
1706346562001,51891
1706346562095,51889
1706346562189,51861
1706346562283,51837
1706346562376,51826
1706346562470,51817
1706346562564,51801
1706346562658,51795
1706346562752,51799
1706346562846,51813
1706346562940,51820
1706346563034,51827
1706346563128,51833
1706346563222,51841
1706346563316,51843
1706346563409,51847
1706346563503,51863
1706346563597,51883
1706346563691,51892
1706346563785,51882
1706346563879,51874
1706346563973,51866
1706346564067,51853
1706346564161,51865
1706346564255,51861
1706346564348,51838
1706346564443,51834
1706346564536,51828
1706346564630,51821
1706346564724,51812
1706346564818,51800
1706346564912,51821
1706346565006,51833
1706346565100,51824
1706346565194,51820
1706346565288,51821
1706346565381,51819
1706346565822,51848
1706346565915,51847
1706346566008,51844
1706346566103,51847
1706346566196,51844
1706346566290,51844
1706346566385,51842
1706346566478,51840
1706346566572,51841
1706346566666,51842
1706346566760,51842
1706346566854,51844
1706346566948,51844
1706346567042,51842
1706346567135,51844
1706346567231,51843
1706346567323,51845
1706346567418,51842
1706346567512,51841
1706346567605,51842
1706346567699,51840
1706346567793,51841
1706346567887,51843
1706346567981,51843
1706346568075,51843
1706346568169,51842
1706346568263,51846
1706346568357,51846
1706346568451,51845
1706346568545,51843
1706346568638,51846
1706346568732,51844
1706346568826,51843
1706346568920,51842
1706346569014,51844
1706346569108,51846
1706346569202,51846
1706346569296,51841
1706346569390,51842
1706346569483,51844
1706346569577,51844
1706346569671,51842
1706346569765,51842
1706346569859,51844
1706346569953,51842
1706346570047,51842
1706346570141,51845
1706346570235,51842
1706346570329,51842
1706346570423,51843
1706346570517,51843
1706346570841,51840
1706346570935,51840
